2026-09-01 03:26:25 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
2026-09-01 03:26:26 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/humor_30/index.html
2026-09-01 03:26:27 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/academic_40/index.html
2026-09-01 03:26:28 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
2026-09-01 03:26:29 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
2026-09-01 03:26:30 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/historical_42/index.html
2026-09-01 03:26:31 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/classics_6/index.html
2026-09-01 03:26:32 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/science_22/index.html
2026-09-01 03:26:33 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/self-help_41/index.html
2026-09-01 03:26:34 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
2026-09-01 03:26:35 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/business_35/index.html
2026-09-01 03:26:36 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
2026-09-01 03:26:37 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
2026-09-01 03:26:38 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/psychology_26/index.html
2026-09-01 03:26:39 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html
2026-09-01 03:26:40 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
2026-09-01 03:26:41 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
2026-09-01 03:26:42 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
2026-09-01 03:26:43 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/default_15/index.html
2026-09-01 03:26:44 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
2026-09-01 03:26:45 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/art_25/index.html
2026-09-01 03:26:46 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/novels_46/index.html
2026-09-01 03:26:47 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
2026-09-01 03:26:48 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/crime_51/index.html
2026-09-01 03:26:49 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/childrens_11/index.html
2026-09-01 03:26:50 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/suspense_44/index.html
2026-09-01 03:26:51 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
2026-09-01 03:26:52 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/history_32/index.html
2026-09-01 03:26:53 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html
2026-09-01 03:26:54 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books_1/index.html
2026-09-01 03:26:55 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
2026-09-01 03:26:56 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
2026-09-01 03:26:57 | INFO     | scraper.cleaner | Cleaned 63 products -> 63 after deduplication
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/christian_43/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/poetry_23/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/health_47/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/fiction_10/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/romance_8/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/thriller_37/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/erotica_50/index.html: missing name
